index,RegionID,RegionName,SizeRank,RegionType,StateRegionID,StateName,MSARegionID,MSA,CountyRegionID,CountyName,CityRegionID,City,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1
22,394458,"Charlotte, NC",22,Metro,36.0,NC,394458.0,Charlotte,,,,,0.344628897,0.342241444,0.367513122,0.365505975,0.363844007,0.33590609,0.32960509,0.314705921,0.283369685,0.230995622,0.21639159,0.212552324,0.185312366,0.165120108,0.16331922,0.138134254,0.121391952,0.109896096,0.107173835141693,0.101834881918825,0.0921284958982725,0.0809518671387539,0.0811586447082743,0.0798248052690664
23,395045,"Sacramento, CA",23,Metro,9.0,CA,395045.0,Sacramento,,,,,0.488039098,0.481840091,0.503134828,0.51191716,0.492517708,0.446658597,0.417443923,0.374904849,0.31518264,0.234234256,0.204589282,0.199783193,0.170353477,0.157039039,0.147566029,0.141478084,0.129878174,0.115653274,0.104064828278609,0.100562555776194,0.0879346211347955,0.0756603703101522,0.0737513087057658,0.0713108732867941
24,394943,"Orlando, FL",24,Metro,14.0,FL,394943.0,Orlando,,,,,0.530223834,0.531547578,0.538369151,0.539384771,0.518721067,0.476616568,0.452616578,0.417613044,0.398103478,0.341604568,0.302888246,0.286835337,0.239637869,0.218760972,0.209291601,0.192227122,0.17791177,0.160897484,0.15438855536202,0.147536759488942,0.133888659721521,0.113886863453146,0.102901448051487,0.100374637475015
25,394466,"Cincinnati, OH",25,Metro,44.0,OH,394466.0,Cincinnati,,,,,0.293369798,0.319589797,0.31173071,0.315226018,0.302647854,0.276240011,0.271947084,0.261110587,0.244819035,0.215049651,0.212333268,0.210927464,0.189519093,0.186983601,0.191638192,0.168602825,0.154115779,0.144546868,0.136537392327724,0.132625479742536,0.125366180920833,0.108376968260956,0.102533738242283,0.0973263788778935
26,394475,"Cleveland, OH",26,Metro,44.0,OH,394475.0,Cleveland,,,,,0.337022127,0.326227212,0.332325301,0.339418168,0.328507005,0.297751488,0.297996032,0.280844626,0.270766686,0.240614289,0.236263347,0.234162942,0.219321106,0.20708413,0.214289411,0.199361565,0.183475724,0.168137631,0.171103019688735,0.165958135140105,0.154600806494264,0.145666248975601,0.136959621808996,0.134028901976508
27,394735,"Kansas City, MO",27,Metro,32.0,MO,394735.0,Kansas City,,,,,0.270752883,0.322234174,0.326345064,0.367314191,0.360092868,0.331796674,0.340719197,0.179436185,0.214125188,0.217125042,0.239520221,0.207079335,0.210079955,0.2071053,0.208850927,0.198060656,0.178878132,0.166259924,0.164101001069698,0.155311750218489,0.149560720480949,0.123847826655161,0.125277449684189,0.119764779588885
28,394775,"Las Vegas, NV",28,Metro,42.0,NV,394775.0,Las Vegas,,,,,0.679898155,0.683586829,0.702466997,0.7099845,0.685392447,0.629936537,0.591912671,0.54335337,0.484140828,0.396034384,0.351306711,0.338871987,0.299282919,0.277591373,0.263939211,0.250263034,0.250059669,0.221331288,0.208583690987124,0.202054824735537,0.194554835111204,0.168179374884344,0.165930759185741,0.158927667277542
29,394492,"Columbus, OH",29,Metro,44.0,OH,394492.0,Columbus,,,,,0.334922947,0.326182887,0.343694699,0.341691311,0.334020421,0.296036696,0.287524651,0.283865432,0.259691897,0.228169304,0.216059401,0.209825388,0.191094183,0.176071671,0.176392466,0.156841494,0.142328149,0.128512116,0.116885905782098,0.11161987682439,0.102446750422596,0.0895915780540709,0.0876320793904151,0.0871703644828873
30,394705,"Indianapolis, IN",30,Metro,22.0,IN,394705.0,Indianapolis,,,,,0.245512992,0.28247448,0.29871813,0.287819322,0.280118004,0.249909846,0.259644814,0.238508919,0.213468584,0.193251832,0.184369678,0.167530334,0.181177326,0.179432233,0.182920888,0.166502168,0.150283768,0.154901991,0.146379732023223,0.14936408631502,0.152182745375424,0.128088719606421,0.126583864663722,0.122037609121421
31,395059,"San Jose, CA",31,Metro,9.0,CA,395059.0,San Jose,,,,,0.202564139,0.20047335,0.223175609,0.227361814,0.202700686,0.175877428,0.161278152,0.135335381,0.111764826,0.076489929,0.067047494,0.067111364,0.049780352,0.045040908,0.039676422,0.038256519,0.033939459,0.02993542,0.0279851925806248,0.0281996023191895,0.0244290903346631,0.0256731999131241,0.0271455183211083,0.0280988088335392
